id,ident,normalized,timestamp,unixTimestamp,week day,year,month,day,hour,minutes,seconds,channel,source_ip,source_ip_num,source_port,destination_ip,destination_ip_num,destination_port,protocol,city,province,province_code,country,country_code,continent,latitude,longitude,asn,method,path,URL,query_string,Accept-Languange,Authorization,Cache Control,Redirect,Content-Type,Cookie,Expect,Host,Connection,Language,Pragma,Soapaction,Te,UaCPU,Accept-Encoding,UpgradeInsecureRequests,User Agent,Via,X_Forwarded_For,X_Requested_With,is-shellshock,command,command-data,,,,,,,,,,,,,
57d9b9d293e0950571e44bf6,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-14 16:57:54.567,1473872274.567,Wed,2016,9,14,16,57,54.567,shockpot.events,141.117.240.171,2373316779,None,192.168.10.4,3232238084,80,http,Toronto,Ontario,ON,Canada,CA,North America,43.6572,-79.3783,RYERSON UNIVERSITY,GET,/,http://192.168.10.4/,en-US,en,q=0.5,None,None,None,text/plain,None,None,192.168.10.4,keep-alive,en-US,en,q=0.5,None,None,None,None,gzip, deflate,None,Mozilla/5.0 (Windows NT 10.0, rv:35.0) Gecko/20100101 Firefox/35.0,None,None,None,False,None,None,,,,,,,,
57da62b493e0950571e44c7a,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-15 04:58:28.068,1473915508.068,Thr,2016,9,15,4,58,28.068,shockpot.events,191.96.249.80,3210803536,None,192.168.10.4,3232238084,80,http,Moscow,Moscow,MOW,Russia,RU,Europe,55.7485,37.6184,Jupiter 25 Limited,GET,/xmlrpc.php,http://192.168.10.4/xmlrpc.php,None,None,None,None,text/plain,None,None,192.168.10.4,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57da8a4293e0950571e44c96,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-15 07:47:14.108,1473925634.108,Thr,2016,9,15,7,47,14.108,shockpot.events,191.96.249.80,3210803536,None,192.168.10.5,3232238085,80,http,Moscow,Moscow,MOW,Russia,RU,Europe,55.7485,37.6184,Jupiter 25 Limited,GET,/xmlrpc.php,http://192.168.10.5/xmlrpc.php,None,None,None,None,text/plain,None,None,192.168.10.5,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57daf58093e0950571e44cca,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-15 15:24:48.357,1473953088.357,Thr,2016,9,15,15,24,48.357,shockpot.events,37.59.253.230,624688614,None,192.168.10.5,3232238085,80,http,None,None,None,France,FR,Europe,48.8582,2.3387,OVH SAS,GET,/,http://192.168.10.5:80/,None,None,None,None,text/plain,None,None,192.168.10.5:80,close,None,None,None,None,None,None,None,Mozilla/5.0 (Windows NT 6.1, rv:31.0) Gecko/20100101 Firefox/31.0,None,None,None,False,None,None,,,,,,,,,,,,,
57db0a9493e0950571e44cde,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-15 16:54:44.688,1473958484.688,Thr,2016,9,15,16,54,44.688,shockpot.events,183.29.110.69,3072159301,None,192.168.10.4,3232238084,80,http,Guangzhou,Guangdong,44,China,CN,Asia,23.1167,113.25,Chinanet,GET,/phpmyadmin,http://192.168.10.4/phpmyadmin,zh-cn,None,None,None,application/x-www-form-urlencoded,None,None,192.168.10.4,Keep-Alive,zh-cn,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 9.0, Windows NT 6.1),None,None,None,False,None,None,,,,,,,,,,,,
57db227c93e0950571e44ce6,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-15 18:36:44.195,1473964604.195,Thr,2016,9,15,18,36,44.195,shockpot.events,128.232.110.28,2162716188,None,192.168.10.5,3232238085,80,http,Cambridge,Cambridgeshire,CAM,United Kingdom,GB,Europe,52.2,0.1167,Jisc Services Limited,GET,/,http://192.168.10.5/,None,None,None,None,text/plain,None,None,192.168.10.5,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57db489893e0950571e44cf4,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-15 21:19:20.745,1473974360.745,Thr,2016,9,15,21,19,20.745,shockpot.events,128.232.110.28,2162716188,None,192.168.10.4,3232238084,80,http,Cambridge,Cambridgeshire,CAM,United Kingdom,GB,Europe,52.2,0.1167,Jisc Services Limited,GET,/,http://192.168.10.4/,None,None,None,None,text/plain,None,None,192.168.10.4,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57db9d4893e0950571e44d1a,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-16 03:20:40.910,1473996040.91,Fri,2016,9,16,3,20,40.91,shockpot.events,141.212.122.16,2379512336,None,192.168.10.4,3232238084,80,http,Ann Arbor,Michigan,MI,United States,US,North America,42.2776,-83.7409,University of Michigan,GET,/,http://192.168.10.4/,None,None,None,None,text/plain,None,None,192.168.10.4,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57dbe30e93e0950571e44d6e,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-16 08:18:22.143,1474013902.143,Fri,2016,9,16,8,18,22.143,shockpot.events,54.154.150.103,916100711,None,192.168.10.5,3232238085,80,http,Dublin,Leinster,L,Ireland,IE,Europe,53.3389,-6.2595,Amazon.com - Inc.,GET,/,http://192.168.10.5/,None,None,None,None,text/plain,None,None,192.168.10.5,close,None,None,None,None,None,gzip,None,Mozilla/5.0 (Macintosh, Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57dbe7e793e0950571e44d70,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-16 08:39:03.636,1474015143.636,Fri,2016,9,16,8,39,3.636,shockpot.events,141.212.122.16,2379512336,None,192.168.10.5,3232238085,80,http,Ann Arbor,Michigan,MI,United States,US,North America,42.2776,-83.7409,University of Michigan,GET,/,http://192.168.10.5/,None,None,None,None,text/plain,None,None,192.168.10.5,None,None,None,None,None,None,gzip,None,Mozilla/5.0 zgrab/0.x,None,None,None,False,None,None,,,,,,,,,,,,,,
57dbf24a93e0950571e44d74,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-16 09:23:22.172,1474017802.172,Fri,2016,9,16,9,23,22.172,shockpot.events,54.154.150.103,916100711,None,192.168.10.4,3232238084,80,http,Dublin,Leinster,L,Ireland,IE,Europe,53.3389,-6.2595,Amazon.com - Inc.,GET,/,http://192.168.10.4/,None,None,None,None,text/plain,None,None,192.168.10.4,close,None,None,None,None,None,gzip,None,Mozilla/5.0 (Macintosh, Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57dc51e693e09504995a8cc7,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-16 16:11:18.058,1474042278.058,Fri,2016,9,16,16,11,18.058,shockpot.events,213.128.81.66,3581956418,None,192.168.10.4,3232238084,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVDW01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57dc539893e09504995a8ccd,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-16 16:18:32.135,1474042712.135,Fri,2016,9,16,16,18,32.135,shockpot.events,213.128.81.66,3581956418,None,192.168.10.5,3232238085,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVWS01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57dc5ce293e09504995a8cdb,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-16 16:58:10.629,1474045090.629,Fri,2016,9,16,16,58,10.629,shockpot.events,213.128.81.66,3581956418,None,192.168.10.4,3232238084,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVDW01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57dc5e9893e09504995a8cdf,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-16 17:05:28.162,1474045528.162,Fri,2016,9,16,17,5,28.162,shockpot.events,213.128.81.66,3581956418,None,192.168.10.5,3232238085,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVWS01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57ddf8cc93e09504995a8e1d,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-17 22:15:40.282,1474150540.282,Sat,2016,9,17,22,15,40.282,shockpot.events,76.74.178.164,1279963812,None,192.168.10.4,3232238084,80,http,New York,New York,NY,United States,US,North America,40.6888,-74.0203,Peer 1 Network (USA) Inc.,GET,/.git/config,http://192.168.10.4/.git/config,None,None,None,None,text/plain,None,None,192.168.10.4,None,None,None,None,None,None,None,None,fasthttp,None,None,None,False,None,None,,,,,,,,,,,,,,
57de03ac93e09504995a8e2d,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-17 23:02:04.506,1474153324.506,Sat,2016,9,17,23,2,4.506,shockpot.events,64.74.215.158,1078646686,None,192.168.10.4,3232238084,80,http,None,None,None,United States,US,North America,37.751,-97.822,PALO ALTO NETWORKS,GET,/.git/config,http://192.168.10.4/.git/config,en-US,None,None,None,text/plain,None,None,192.168.10.4,Keep-Alive,en-US,None,None,None,None,gzip, deflate,None,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57de2d6293e09504995a8f7b,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 02:00:02.639,1474164002.639,Sun,2016,9,18,2,0,2.639,shockpot.events,76.74.178.164,1279963812,None,192.168.10.5,3232238085,80,http,New York,New York,NY,United States,US,North America,40.6888,-74.0203,Peer 1 Network (USA) Inc.,GET,/.git/config,http://192.168.10.5/.git/config,None,None,None,None,text/plain,None,None,192.168.10.5,None,None,None,None,None,None,None,None,fasthttp,None,None,None,False,None,None,,,,,,,,,,,,,,
57de6a6193e09504995a8f97,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 06:20:17.604,1474179617.604,Sun,2016,9,18,6,20,17.604,shockpot.events,63.141.242.198,1066267334,None,192.168.10.5,3232238085,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1472,-94.5735,DataShack - LC,GET,/,http://www.y8b88.com/,None,None,None,None,text/plain,None,None,www.y8b88.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57de6fd993e09504995a8f9f,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 06:43:37.092,1474181017.092,Sun,2016,9,18,6,43,37.092,shockpot.events,204.12.220.86,3423394902,None,192.168.10.4,3232238084,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://www.y8b88.com/,None,None,None,None,text/plain,None,None,www.y8b88.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57de812093e09504995a8fab,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 07:57:20.857,1474185440.857,Sun,2016,9,18,7,57,20.857,shockpot.events,141.212.122.64,2379512384,None,192.168.10.4,3232238084,80,http,Ann Arbor,Michigan,MI,United States,US,North America,42.2776,-83.7409,University of Michigan,GET,/x,http://CCSPVDW01/x,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,Telesphoreo,None,None,None,False,None,None,,,,,,,,,,,,,,
57deb1bd93e09504995a8fbb,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 11:24:45.885,1474197885.885,Sun,2016,9,18,11,24,45.885,shockpot.events,31.180.149.0,531928320,None,192.168.10.4,3232238084,80,http,Petrov Val,Volgogradskaya Oblast',VGG,Russia,RU,Europe,50.1434,45.2096,PJSC Rostelecom,GET,/,http://192.168.10.4/,None,None,None,None,text/plain,None,None,192.168.10.4,close,None,None,None,None,None,None,None,Wget/1.15 (linux-gnu),None,None,None,False,None,None,,,,,,,,,,,,,,
57deb7ad93e09504995a8fbf,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 11:50:05.900,1474199405.9,Sun,2016,9,18,11,50,5.9,shockpot.events,141.212.122.64,2379512384,None,192.168.10.5,3232238085,80,http,Ann Arbor,Michigan,MI,United States,US,North America,42.2776,-83.7409,University of Michigan,GET,/x,http://CCSPVWS01/x,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,Telesphoreo,None,None,None,False,None,None,,,,,,,,,,,,,,
57debcbb93e09504995a8fc1,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 12:11:39.568,1474200699.568,Sun,2016,9,18,12,11,39.568,shockpot.events,63.141.242.195,1066267331,None,192.168.10.5,3232238085,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1472,-94.5735,DataShack - LC,GET,/,http://www.mfcclub.net/,None,None,None,None,text/plain,None,None,www.mfcclub.net,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57dec23a93e09504995a8fc3,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 12:35:06.265,1474202106.265,Sun,2016,9,18,12,35,6.265,shockpot.events,204.12.220.82,3423394898,None,192.168.10.4,3232238084,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://www.mfcclub.net/,None,None,None,None,text/plain,None,None,www.mfcclub.net,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57ded8f793e09504995a8fd1,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 14:12:07.273,1474207927.273,Sun,2016,9,18,14,12,7.273,shockpot.events,63.141.242.198,1066267334,None,192.168.10.5,3232238085,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1472,-94.5735,DataShack - LC,GET,/,http://www.mfcclub.com/,None,None,None,None,text/plain,None,None,www.mfcclub.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57dedf2293e09504995a8fdf,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 14:38:26.025,1474209506.025,Sun,2016,9,18,14,38,26.025,shockpot.events,204.12.220.84,3423394900,None,192.168.10.4,3232238084,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://www.mfcclub.com/,None,None,None,None,text/plain,None,None,www.mfcclub.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57dedf6193e09504995a8fe3,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 14:39:29.002,1474209569.002,Sun,2016,9,18,14,39,29.002,shockpot.events,60.217.192.136,1020903560,None,192.168.10.5,3232238085,80,http,Jinan,Shandong,37,China,CN,Asia,36.6683,116.9972,CNCGROUP China169 Backbone,HEAD,/,http://192.168.10.5/,None,None,None,None,text/plain,None,None,192.168.10.5,None,None,None,None,None,None,identity,None,None,None,None,None,False,None,None,,,,,,,,,,,,,,
57dee4cb93e09504995a8ffb,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 15:02:35.025,1474210955.025,Sun,2016,9,18,15,2,35.025,shockpot.events,64.74.215.1,1078646529,None,192.168.10.5,3232238085,80,http,None,None,None,United States,US,North America,37.751,-97.822,PALO ALTO NETWORKS,GET,/cgi-bin/test-cgi,http://192.168.10.5/cgi-bin/test-cgi,en-US,None,None,None,text/plain,None,None,192.168.10.5,Keep-Alive,en-US,None,None,None,None,gzip, deflate,None,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57df299e93e09504995a9037,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 19:56:14.618,1474228574.618,Sun,2016,9,18,19,56,14.618,shockpot.events,213.128.81.66,3581956418,None,192.168.10.5,3232238085,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVWS01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57df2ca393e09504995a903d,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 20:09:07.501,1474229347.501,Sun,2016,9,18,20,9,7.501,shockpot.events,213.128.81.66,3581956418,None,192.168.10.4,3232238084,80,http,Istanbul,Istanbul,34,Turkey,TR,Asia,41.0214,28.9684,Istanbuldc Veri Merkezi Ltd. Sti,GET,/,http://CCSPVDW01/,None,None,None,None,text/plain,None,None,None,None,None,None,None,None,None,None,None,masscan/1.0 (https://github.com/robertdavidgraham/masscan),None,None,None,False,None,None,,,,,,,,,,,,,,
57df4bf693e09504995a9059,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 22:22:46.021,1474237366.021,Sun,2016,9,18,22,22,46.021,shockpot.events,201.173.132.143,3383592079,None,192.168.10.4,3232238084,80,http,Monterrey,Nuevo León,NLE,Mexico,MX,North America,25.6667,-100.3167,Television Internacional - S.A. de C.V.,GET,/cgi/common.cgi,http://192.168.10.4/cgi/common.cgi,None,None,None,None,text/plain,None,None,192.168.10.4,None,None,None,None,None,None,None,None,Wget(linux),None,None,None,False,None,None,,,,,,,,,,,,,,
57df58a893e09504995a9065,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 23:16:56.533,1474240616.533,Sun,2016,9,18,23,16,56.533,shockpot.events,64.74.215.174,1078646702,None,192.168.10.4,3232238084,80,http,None,None,None,United States,US,North America,37.751,-97.822,PALO ALTO NETWORKS,GET,/cgi/common.cgi,http://192.168.10.4/cgi/common.cgi,en-US,None,None,None,text/plain,None,None,192.168.10.4,Keep-Alive,en-US,None,None,None,None,gzip, deflate,None,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57df58de93e09504995a9069,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-18 23:17:50.461,1474240670.461,Sun,2016,9,18,23,17,50.461,shockpot.events,64.74.215.166,1078646694,None,192.168.10.5,3232238085,80,http,None,None,None,United States,US,North America,37.751,-97.822,PALO ALTO NETWORKS,GET,/cgi/common.cgi,http://192.168.10.5/cgi/common.cgi,en-US,None,None,None,text/plain,None,None,192.168.10.5,Keep-Alive,en-US,None,None,None,None,gzip, deflate,None,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36,None,None,None,False,None,None,,,,,,,,,,,,
57df594293e09504995a906b,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-18 23:19:30.045,1474240770.045,Sun,2016,9,18,23,19,30.045,shockpot.events,173.208.150.116,2916128372,None,192.168.10.4,3232238084,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://www.mfcclub.com/,None,None,None,None,text/plain,None,None,www.mfcclub.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57df680393e09504995a9073,3599ddd6-630e-11e6-94de-0800272277a0,True,2016-09-19 00:22:27.275,1474244547.275,Mon,2016,9,19,0,22,27.275,shockpot.events,173.208.150.117,2916128373,None,192.168.10.5,3232238085,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://www.mfcclub.com/,None,None,None,None,text/plain,None,None,www.mfcclub.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
57df84e093e09504995a9089,793c3230-5ce4-11e6-94de-0800272a9814,True,2016-09-19 02:25:36.506,1474251936.506,Mon,2016,9,19,2,25,36.506,shockpot.events,173.208.150.116,2916128372,None,192.168.10.4,3232238084,80,http,Kansas City,Missouri,MO,United States,US,North America,39.1068,-94.566,WholeSale Internet - Inc.,GET,/,http://kiosk.scr888.com/,None,None,None,None,text/plain,None,None,kiosk.scr888.com,None,None,None,None,None,None,None,None,Mozilla/4.0 (compatible, MSIE 8.0, Windows NT 6.1, Trident/4.0, SLCC2, .NET CLR 2.0.50727, .NET CLR 3.5.30729, .NET CLR 3.0.30729, Media Center PC 6.0),None,None,None,False,None,None,,,,,,
